title,key,style,tempo,checked,audio_produced,chords,marked_,turnaround,composers
I've Got A Crush On You,B-,,,,,"Bb^7, Dbo7, Cm7, F7, Bb^7, Dbo7, Cm7, F7, Dm7, Gm7, C7, C7, Cm7, F7, Bb^7, Dbo7, Cm7, F7, Bb^7, Dbo7, Cm7, Ebm7, Ab7, Dm7, Gm7, C7, Bb^, Gm7, C7, F7, Bb6, Cm7, F7",|Bb^7 Dbo7|Cm7 F7|Bb^7 Dbo7|Cm7 F7|Dm7 Gm7|C7|C7|Cm7 F7|Bb^7 Dbo7|Cm7 F7|Bb^7 Dbo7|Cm7 Ebm7&Ab7|Dm7 Gm7|C7|Bb^ Gm7|C7 F7|Bb6|Cm7 F7|,2,"Gershwin, George"
Jackie-ing,B-,,,,,"Bb^7, Bb^7, Bb^7, Bb^7, Bb^7, Bb^7, Cm7, Fsus, Fsus, Bb^7, Bb^7, G7, Cm7, F7, Bb^7, Bb^7, Bb^7, Bb^7",|Bb^7|Bb^7|Bb^7|Bb^7|Bb^7|Bb^7|Cm7 Fsus|Fsus|Bb^7|Bb^7|G7|Cm7 F7|Bb^7|Bb^7|Bb^7|Bb^7|,0,"Monk, Thelonious"
Jeannie's Song,F,,,,,"Gm7, C7, Gm7, C7, F^7, Bb7, Am7, Abo7, Gm7, C7, F^7, Em7, A7, D^7, A7, Dm7, G7, Gm7, C7, Gm7, C7, F^7, Bb7, Am7, Abo7, Gm7, C7, Am7, D7, Gm7, C7, F^7, F^7",|Gm7|C7|Gm7|C7|F^7|Bb7|Am7|Abo7|Gm7|C7|F^7|Em7 A7|D^7|A7|Dm7|G7|Gm7|C7|Gm7|C7|F^7|Bb7|Am7|Abo7|Gm7|C7|Am7|D7|Gm7|C7|F^7|F^7|,0,"Ivery, Marchel"
Jersey Bounce,F,,,,,"F6, F6, G7, G7, Gm7, C7, F6, Abo7, Gm7, C7, F6, F6, G7, G7, Gm7, C7, F6, Db7, F6, F7, F7, Eb7, Eb7, Db7, Db7, C7, C7, F6, F6, G7, G7, Gm7, C7, F6, Db7, F6",|F6|F6|G7|G7|Gm7|C7|F6 Abo7|Gm7 C7|F6|F6|G7|G7|Gm7|C7|F6 Db7|F6|F7|F7|Eb7|Eb7|Db7|Db7|C7|C7|F6|F6|G7|G7|Gm7|C7|F6 Db7|F6|,0,"Johnson, Eddie & Bradshaw, Tiny & Plater, Bobby"
"Jody Grind, The",b-,,,,,"Bbm7, Bbm7, Bbm7, Bbm7, Eb7, Eb7, Bbm7, Bbm7, A7, B7, Bbm7, Bbm7",|Bbm7|Bbm7|Bbm7|Bbm7|Eb7|Eb7|Bbm7|Bbm7|A7|B7|Bbm7|Bbm7|,NT,"Silver, Horace"
Just A Gigolo,F,,,,,"F^, F^7, F^, Abo7, Gm7, D7, Gm, Gm7, C7, F^, F7, Eb7, D7, Gm7, Bbm7, Eb7, Am7, D7, Gm7, C7, F^, C7",|F^|F^7|F^ Abo7|Gm7 D7|Gm|Gm7|C7|F^|F7|Eb7|D7|Gm7|Bbm7 Eb7|Am7 D7|Gm7 C7|F^ C7|,1,"Casucci, Leonello"
Just Friends,G,,,,,"C^7, C^7, Cm7, F7, G^7, G^7, Bbm7, Eb7, Am7, D7, Bm7, Em7, A7, A7, Am7, D7, G7, C^7, C^7, Cm7, F7, G^7, G^7, Bbm7, Eb7, Am7, D7, F#%7, B7, Em7, A7, Am7, D7, G6, Dm7, G7",|C^7|C^7|Cm7|F7|G^7|G^7|Bbm7|Eb7|Am7|D7|Bm7|Em7|A7|A7|Am7|D7 G7|C^7|C^7|Cm7|F7|G^7|G^7|Bbm7|Eb7|Am7|D7|F#%7 B7|Em7|A7|Am7 D7|G6|Dm7 G7|,2,"Klenner, John"
Just In Time,B-,,,,,"Bb^7, Bb^7, A%7, D7, G7, G7, C7, C7, F7, F7, Bb7, Bb7, Eb^7, Eb^7, Ab^7, A%7, D7, Gm7, Gm, Gm, C7, C#o7, Bb6, Bb6, Ab7, G7, C7, F7, Dm7, Gm7, C7, Cm7, F7, Bb6, Cm7, F7",|Bb^7|Bb^7|A%7|D7|G7|G7|C7|C7|F7|F7|Bb7|Bb7|Eb^7|Eb^7|Ab^7|A%7 D7|Gm7|Gm|Gm|C7 C#o7|Bb6|Bb6|Ab7|G7|C7|F7|Dm7|Gm7|C7|Cm7 F7|Bb6|Cm7 F7|,2,"Styne, Jule"
Lady Bird,C,,,,,"C^7, C^7, Fm7, Bb7, C^7, C^7, Bbm7, Eb7, Ab^7, Ab^7, Am7, D7, Dm7, G7, C^7, Eb^7, Ab^7, Db^7",|C^7|C^7|Fm7|Bb7|C^7|C^7|Bbm7|Eb7|Ab^7|Ab^7|Am7|D7|Dm7|G7|C^7 Eb^7|Ab^7 Db^7|,3,"Dameron, Tadd"
Leaving,B-,,,,,"Eb^7, D7, Gm7, Gm7, Gb^7, F7, D7, Gm7, Gm7, Cm7, Absus, Bb^, F^, Ab7, G7, Cm^7, Gb^7, B^7, Bb^, D7",|Eb^7|D7|Gm7|Gm7|Gb^7 F7|D7|Gm7|Gm7|Cm7|Absus|Bb^ F^|Ab7 G7|Cm^7 Gb^7|B^7|Bb^|D7|,1,"Beirach, Richie"
Lennie's Pennies,c,,,,,"Cm6, Cm6, D7, Db7, Cm6, Cm6, D7, G7, G%7, C7, Fm6, Fm6, Cm6, D7, D7, G7, Cm6, Cm6, D7, G7, C7, C7, Fm6, Fm6, Fm6, D%7, Cm6, A7, D%7, G7, Cm6, Cm6",|Cm6|Cm6|D7|Db7|Cm6|Cm6|D7|G7|G%7|C7|Fm6|Fm6|Cm6|D7|D7|G7|Cm6|Cm6|D7|G7|C7|C7|Fm6|Fm6|Fm6|D%7|Cm6|A7|D%7|G7|Cm6|Cm6|,0,"Tristano, Lennie"
Light Blue,C,,,,,"F^7, F^7, G7, C7, F^7, F^7, F7, Bb7, C^7, D7, G7, F^7, F^7, F7, Gb7, F^7, F^7, F#m7, Fm7, C^7, D7, D7, G7, Db^7",|F^7&F^7&G7&C7|F^7&F^7&F7&Bb7|C^7|D7 G7|F^7&F^7&F7&Gb7|F^7&F^7&F#m7&Fm7|C^7|D7&D7&G7&Db^7|,3,"Monk, Thelonious"
Little Boat (O Barquinho),B-,,,,,"Bb^7, Bb^7, Em7, A7, Em7, A7, Ab^7, Ab^7, Dm7, G7, Dm7, G7, Gb^7, Gb^7, Cm7, F7, Cm7, F7, Dm7, G7, Cm7, F7",|Bb^7|Bb^7|Em7 A7|Em7 A7|Ab^7|Ab^7|Dm7 G7|Dm7 G7|Gb^7|Gb^7|Cm7 F7|Cm7 F7|Dm7|G7|Cm7|F7|,-1,"Menescal, Roberto"
