title,key,style,tempo,checked,audio_produced,chords,marked_,turnaround,composers
"Shadow Of Your Smile, The",G,,,,,"F#m7, B7, Em7, A7, Am7, D7, G^7, C^7, F#%7, B7, Em7, Em7, C#%7, F#7, F#%7, B7, F#m7, B7, Em7, A7, Am7, D7, B%7, E7, Am7, Cm7, F7, Bm7, E7, A7, Dsus, D7, G6, G6",|F#m7|B7|Em7|A7|Am7|D7|G^7|C^7|F#%7|B7|Em7|Em7|C#%7|F#7|F#%7|B7|F#m7|B7|Em7|A7|Am7|D7|B%7|E7|Am7|Cm7 F7|Bm7|E7|A7|Dsus D7|G6|G6|,0,"Mandel, Johnny"
Shine,E-,,,,,"Eb^7, Eb^7, Fm7, Bb7, Eb^7, Eb^7, Fm7, Bb7, G7, G7, Cm7, Cm7, F7, F7, Bb7, Bb7, Eb^7, Eb^7, Fm7, Bb7, G7, G7, Cm7, Cm7, Ab^7, Ab^7, Db7, Eb6, C7, Fm7, Bb7, Eb6, Fm7, Bb7",|Eb^7|Eb^7|Fm7|Bb7|Eb^7|Eb^7|Fm7|Bb7|G7|G7|Cm7|Cm7|F7|F7|Bb7|Bb7|Eb^7|Eb^7|Fm7|Bb7|G7|G7|Cm7|Cm7|Ab^7|Ab^7 Db7|Eb6|C7|Fm7|Bb7|Eb6|Fm7 Bb7|,2,"Dabney, Ford"
Simone,d,,,,,"Dm7, Am7, Dm7, Eb7, Dm7, Am7, Am7, D7, Gm7, Am7, Bbm7, Eb7, Dm7, Em7, F^7, F#m7, Fm7, Bb7, Em7, A7, Dm7, Am7, Dm7, Eb7",|Dm7|Am7|Dm7|Eb7|Dm7|Am7|Am7|D7|Gm7|Am7|Bbm7|Eb7|Dm7|Em7|F^7|F#m7|Fm7|Bb7|Em7|A7|Dm7|Am7|Dm7|Eb7|,1,"Foster, Frank"
Smile,F,,,,,"F^7, F^7, F^7, F^7, F^7, Abo7, Gm7, D7, Gm7, Gm7, Bbm7, Eb7, F^7, F^7, Gm7, C7, F^7, F^7, F^7, F^7, F^7, Abo7, Gm7, D7, Gm7, Gm7, Bbm7, Eb7, F^7, F^7, Gm7, C7, F6, F6",|F^7|F^7|F^7|F^7|F^7|Abo7|Gm7|D7|Gm7|Gm7|Bbm7|Eb7|F^7|F^7|Gm7|C7|F^7|F^7|F^7|F^7|F^7|Abo7|Gm7|D7|Gm7|Gm7|Bbm7|Eb7|F^7|F^7|Gm7|C7|F6|F6|,0,"Chaplin, Charles"
So Danco Samba,C,,,,,"C6, F7, D7, D7, Dm7, G7, C6, F7, C6, F7, D7, D7, Dm7, G7, C6, C6, Gm7, C7, F^7, F^7, Am7, D7, G7, G7, C6, F7, D7, D7, Dm7, G7, C6, F7",|C6|F7|D7|D7|Dm7|G7|C6|F7|C6|F7|D7|D7|Dm7|G7|C6|C6|Gm7|C7|F^7|F^7|Am7|D7|G7|G7|C6|F7|D7|D7|Dm7|G7|C6|F7|,1,"Jobim, Antonio Carlos"
So Nice (Summer Samba),F,,,,,"F^7, F^7, Bm7, E7, Bb^7, Bb6, Eb7, Eb7, Am7, D7, Gm7, E%7, A7, Dm7, G7, Gm7, Db7, C7, F^7, F^7, Bm7, E7, Bb^7, Bb6, Eb7, Eb7, Am7, D7, Gm7, C7, F^7, Bb7, F6, Gm7, C7",|F^7|F^7|Bm7|E7|Bb^7|Bb6|Eb7|Eb7|Am7|D7|Gm7|E%7 A7|Dm7|G7|Gm7|Db7 C7|F^7|F^7|Bm7|E7|Bb^7|Bb6|Eb7|Eb7|Am7|D7|Gm7|C7|F^7|Bb7|F6|Gm7 C7|,2,"Valles, Marco"
Solar,c,,,,,"Cm^7, Cm^7, Gm7, C7, F^7, F^7, Fm7, Bb7, Eb^7, Ebm7, Ab7, Db^7, D%7, G7",|Cm^7|Cm^7|Gm7|C7|F^7|F^7|Fm7|Bb7|Eb^7|Ebm7 Ab7|Db^7|D%7 G7|,0,"Davis, Miles"
Someday My Prince Will Come,B-,,,,,"Bb^7, D7, Eb^7, G7, Cm7, G7, Cm7, F7, Dm7, C#o7, Cm7, F7, Dm7, C#o7, Cm7, F7, Bb^7, D7, Eb^7, G7, Cm7, G7, Cm7, F7, Fm7, Bb7, Eb^7, Eo7, Bb^7, G7, Cm7, F7",|Bb^7|D7|Eb^7|G7|Cm7|G7|Cm7|F7|Dm7|C#o7|Cm7|F7|Dm7|C#o7|Cm7|F7|Bb^7|D7|Eb^7|G7|Cm7|G7|Cm7|F7|Fm7|Bb7|Eb^7|Eo7|Bb^7|G7|Cm7|F7|,-1,"Churchill, Frank"
Song For My Father,f,,,,,"Fm7, Fm7, Eb7, Eb7, Db7, Csus, Fm7, Fm7, Fm7, Fm7, Eb7, Eb7, Db7, Csus, Fm7, Fm7, Eb7, Eb7, Fm7, Fm7, Eb7, Db7, C7, Fm7, Fm7",|Fm7|Fm7|Eb7|Eb7|Db7|Csus|Fm7|Fm7|Fm7|Fm7|Eb7|Eb7|Db7|Csus|Fm7|Fm7|Eb7|Eb7|Fm7|Fm7|Eb7 Db7|C7|Fm7|Fm7|,0,"Silver, Horace"
St. Thomas,C,,,,,"C^7, F7, Em7, A7, Dm7, G7, C6, C^7, F7, Em7, A7, Dm7, G7, C6, E%7, A7, Dm7, G7, C^7, C7, F^7, F#o7, G7, C6",|C^7 F7|Em7 A7|Dm7 G7|C6|C^7 F7|Em7 A7|Dm7 G7|C6|E%7|A7|Dm7|G7|C^7 C7|F^7 F#o7|G7|C6|,0,"Rollins, Sonny"
Stella By Starlight,B-,,,,,"E%7, A7, Cm7, F7, Fm7, Bb7, Eb^7, Ab7, Bb^7, E%7, A7, Dm7, Bbm7, Eb7, F^7, E%7, E%7, Eb^7, D7, G7, G7, Cm7, Cm7, Ab7, Ab7, Bb^7, Bb^7, E%7, A7, D%7, G7, C%7, F7, Bb^7, Bb^7",|E%7|A7|Cm7|F7|Fm7|Bb7|Eb^7|Ab7|Bb^7|E%7 A7|Dm7|Bbm7 Eb7|F^7|E%7 E%7|Eb^7|D7|G7|G7|Cm7|Cm7|Ab7|Ab7|Bb^7|Bb^7|E%7|A7|D%7|G7|C%7|F7|Bb^7|Bb^7|,0,"Young, Victor"
Struttin' With Some Barbecue,F,,,,,"F^7, F^7, F6, F6, F^7, F^7, D7, D7, Gm7, C7, C#o7, Dm7, Dm7, G7, G7, C7, C7, F^7, F^7, F6, F6, Cm, F7, Bb6, Bb6, Bb6, Bbm6, F^7, D7, Gm7, C7, F6, Db7, C7",|F^7|F^7|F6|F6|F^7|F^7|D7|D7|Gm7|C7 C#o7|Dm7|Dm7|G7|G7|C7|C7|F^7|F^7|F6|F6|Cm|F7|Bb6|Bb6|Bb6|Bbm6|F^7|D7|Gm7|C7|F6 Db7|C7|,2,"Armstrong, Lillian"
Subconscious Lee,C,,,,,"G%7, C7, Fm7, Fm7, D%7, G7, C^7, C^7, G%7, C7, Fm7, Fm7, D%7, G7, C^7, C^7, Cm7, F7, Bb^7, Bb^7, Ab7, Ab7, G7, G7, G%7, C7, Fm7, Fm7, D%7, G7, C^7, C^7",|G%7|C7|Fm7|Fm7|D%7|G7|C^7|C^7|G%7|C7|Fm7|Fm7|D%7|G7|C^7|C^7|Cm7|F7|Bb^7|Bb^7|Ab7|Ab7|G7|G7|G%7|C7|Fm7|Fm7|D%7|G7|C^7|C^7|,0,"Konitz, Lee"
Sugar,c,,,,,"Cm7, D%7, G7, Cm7, G7, Cm7, Cm7, Gsus, G7, Cm7, Gb7, Fm7, Eb7, D%7, G7, Cm7, Db^7",|Cm7|D%7 G7|Cm7|G7|Cm7|Cm7|Gsus|G7|Cm7|Gb7|Fm7|Eb7|D%7|G7|Cm7|Db^7|,1,"Turrentine, Stanley"
Summertime,a,,,,,"Am7, Am7, E7, Am7, Am7, A7, Dm7, F7, B7, E7, Am7, Am7, E7, Am7, D7, G7, C^7, Am7, B%7, E7, Am7, B%7, E7",|Am7|Am7 E7|Am7|Am7 A7|Dm7|F7|B7|E7|Am7|Am7 E7|Am7|D7 G7|C^7 Am7|B%7 E7|Am7|B%7 E7|,2,"Gershwin, George"
Sunny,a,,,,,"Am7, C7, F^7, B%7, E7, Am7, C7, F^7, B%7, E7, Am7, C7, F^7, Bb7, B%7, E7, Am7, E7",|Am7|C7|F^7|B%7 E7|Am7|C7|F^7|B%7 E7|Am7|C7|F^7|Bb7|B%7|E7|Am7|E7|,1,"Hebb, Bobby"
Sweet Georgia Bright,C,,,,,"C7, C7, Bb7, Bb7, C7, C7, Bb7, Bb7, Eb7, Eb7, Eb7, Eb7, D7, Db7, C7, C7",|C7|C7|Bb7|Bb7|C7|C7|Bb7|Bb7|Eb7|Eb7|Eb7|Eb7|D7|Db7|C7|C7|,NT,"Lloyd, Charles"
Take The A Train,C,,,,,"C6, C6, D7, D7, Dm7, G7, C6, Dm7, G7, C6, C6, D7, D7, Dm7, G7, C6, Gm7, C7, F^7, F^7, F^7, F^7, D7, D7, Dm7, G7, G7, C6, C6, D7, D7, Dm7, G7, C6, Dm7, G7",|C6|C6|D7|D7|Dm7|G7|C6|Dm7 G7|C6|C6|D7|D7|Dm7|G7|C6|Gm7 C7|F^7|F^7|F^7|F^7|D7|D7|Dm7|G7 G7|C6|C6|D7|D7|Dm7|G7|C6|Dm7 G7|,NT,"Strayhorn, Billy"
Them There Eyes,A-,,,,,"Ab^7, Ab^7, Ab^7, Ab^7, Ab6, F7, Bb7, Bb7, Bbm7, Eb7, C7, Fm7, Bb7, Bb7, Eb7, Eb7, Ab^7, Ab^7, Ab^7, Ab^7, Ab7, Ab7, Db^7, Db^7, Db^7, Do7, Ab^7, Bb7, Eb7, Ab^7, F7, Bb7, Eb7, Ab6, Eb7",|Ab^7|Ab^7|Ab^7|Ab^7|Ab6|F7|Bb7|Bb7|Bbm7|Eb7|C7|Fm7|Bb7|Bb7|Eb7|Eb7|Ab^7|Ab^7|Ab^7|Ab^7|Ab7|Ab7|Db^7|Db^7|Db^7|Do7|Ab^7|Bb7 Eb7|Ab^7|F7|Bb7 Eb7|Ab6 Eb7|,1,"Pinkard, Maceo & Tauber, Doris & Tracey, William"
This Can't Be Love,F,,,,,"F^7, F^7, Bb7, Bb7, F^7, Dm7, Gm7, C7, F^7, F^7, Bb7, Bb7, Am7, Dm7, Gm7, C7, F6, F6, Em7, A7, Dm7, Dm7, A%7, D7, Gm7, C7, F^7, F^7, Bb7, Bb7, Am7, Dm7, Gm7, C7, F6, F6",|F^7|F^7|Bb7|Bb7|F^7|Dm7|Gm7|C7|F^7|F^7|Bb7|Bb7|Am7 Dm7|Gm7 C7|F6|F6|Em7|A7|Dm7|Dm7|A%7|D7|Gm7|C7|F^7|F^7|Bb7|Bb7|Am7 Dm7|Gm7 C7|F6|F6|,0,"Rodgers, Richard"
Time On My Hands,F,,,,,"F^7, F^7, B%7, E7, Gm7, Gm7, C7, C7, F^7, F^7, B%7, E7, Gm7, Gm7, E%7, A7, D7, D7, G7, Gm7, C7, Dm7, G7, Gm7, C7, F^7, Bb7, A7, D7, G7, C7, F6, D7, Gm7, C7",|F^7|F^7|B%7|E7|Gm7|Gm7|C7|C7|F^7|F^7|B%7|E7|Gm7|Gm7|E%7|A7|D7|D7|G7|Gm7 C7|Dm7|G7|Gm7|C7|F^7|Bb7|A7|D7|G7|C7|F6 D7|Gm7 C7|,3,"Youmans, Vincent"
Tune Up,D,,,,,"Em7, A7, D^7, D^7, Dm7, G7, C^7, C^7, Cm7, F7, Bb^7, Gm7, Em7, F7, Bb^7, A7, Em7, A7, D^7, D^7, Dm7, G7, C^7, C^7, Cm7, F7, Bb^7, Gm7, Em7, A7, D^7, D^7",|Em7|A7|D^7|D^7|Dm7|G7|C^7|C^7|Cm7|F7|Bb^7|Gm7|Em7|F7|Bb^7|A7|Em7|A7|D^7|D^7|Dm7|G7|C^7|C^7|Cm7|F7|Bb^7|Gm7|Em7|A7|D^7|D^7|,0,"Davis, Miles"
United,F,,,,,"E%7, A7, Dm, Dm, E%7, A7, Dm, Dm, Cm7, F7, Bb^7, Abm7, Db7, Gb^7, Gm7, C7, F^7, F^7",|E%7|A7|Dm|Dm|E%7|A7|Dm|Dm|Cm7|F7|Bb^7|Abm7 Db7|Gb^7|Gm7 C7|F^7|F^7|,0,"Shorter, Wayne"
Valse Hot,A-,,,,,"Ab^7, Db^7, Cm7, F7, Bbm7, Eb7, Ab^7, F7, Bbm7, Dbm7, Cm7, F7, Bbm7, Eb7, Ab^7, Eb7",|Ab^7|Db^7|Cm7|F7|Bbm7|Eb7|Ab^7|F7|Bbm7|Dbm7|Cm7|F7|Bbm7|Eb7|Ab^7|Eb7|,1,"Rollins, Sonny"
Wayne's Thang,e,,,,,"Em7, Em7, C6, C6, B7, B7, Em7, Em7, Em7, Em7, C6, C6, B7, B7, Em7, Em7",|Em7|Em7|C6|C6|B7|B7|Em7|Em7|Em7|Em7|C6|C6|B7|B7|Em7|Em7|,0,"Garrett, Kenny"
We Will Meet Again,c,,,,,"Cm6, Cm6, Fm7, Fm7, D%7, G7, Cm6, Cm6, Ab^7, G7, Cm6, Cm6, A%7, D7, Gsus, G7",|Cm6|Cm6|Fm7|Fm7|D%7|G7|Cm6|Cm6|Ab^7|G7|Cm6|Cm6|A%7|D7|Gsus|G7|,-1,"Evans, Bill"
"Weaver Of Dreams, A",C,,,,,"C^7, C^7, B%7, E7, Am7, Am7, Gm7, C7, F^7, Bb7, Em7, A7, D7, D7, Dm7, G7, C^7, C^7, B%7, E7, Am7, Am7, Gm7, C7, F^7, Bb7, Em7, Ebm7, Ab7, Dm7, G7, C^7, Dm7, G7",|C^7|C^7|B%7|E7|Am7|Am7|Gm7|C7|F^7|Bb7|Em7|A7|D7|D7|Dm7|G7|C^7|C^7|B%7|E7|Am7|Am7|Gm7|C7|F^7|Bb7|Em7|Ebm7 Ab7|Dm7|G7|C^7|Dm7 G7|,2,"Young, Victor"
What Is This Thing Called Love,C,,,,,"G%7, C7, Fm6, Fm6, D%7, G7, C^7, C^7, G%7, C7, Fm6, Fm6, D%7, G7, C^7, C^7, Cm7, F7, Bb^7, Bb^7, Ab7, Ab7, D%7, G7, G%7, C7, Fm6, Fm6, D%7, G7, C^7, C^7",|G%7|C7|Fm6|Fm6|D%7|G7|C^7|C^7|G%7|C7|Fm6|Fm6|D%7|G7|C^7|C^7|Cm7|F7|Bb^7|Bb^7|Ab7|Ab7|D%7|G7|G%7|C7|Fm6|Fm6|D%7|G7|C^7|C^7|,0,"Porter, Cole"
When The Saints Go Marching In,F,,,,,"F^, F^, F^, F^, F^, F^, C7, C7, F^, F7, Bb^, Bbm, F^, G7, C7, F^, C7",|F^|F^|F^|F^|F^|F^|C7|C7|F^|F7|Bb^|Bbm|F^|G7 C7|F^|C7|,1,Traditional
When You're Smilin',C,,,,,"C6, C6, C6, C6, Em7, A7, Dm7, G7, Dm7, Dm7, Dm7, Dm7, G7, G7, C6, C6, C7, C7, F6, F6, Am7, D7, Dm7, G7, C6, C6, Em7, A7, Dm7, G7, C6, C6",|C6|C6|C6|C6|Em7|A7|Dm7|G7|Dm7|Dm7|Dm7|Dm7|G7|G7|C6|C6|C7|C7|F6|F6|Am7|D7|Dm7|G7|C6|C6|Em7|A7|Dm7|G7|C6|C6|,0,"Shay, Larry & Fisher, Marc & Goodwin, Joe"
Why Do I Love You?,A-,,,,,"Ab^7, Fm7, Bbm7, Eb7, Ab^7, F7, Bbm7, Eb7, Cm7, Fm7, Bbm7, G%7, C7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Fm7, Bbm7, Eb7, Ab^7, F7, Bbm7, Eb7, Ebm7, Ab7, Db^7, Gb7, Ab^7, Bbm7, Eb7, Ab6, Bbm7, Eb7",|Ab^7|Fm7|Bbm7|Eb7|Ab^7|F7|Bbm7|Eb7|Cm7|Fm7|Bbm7|G%7 C7|Fm7|Bb7|Bbm7|Eb7|Ab^7|Fm7|Bbm7|Eb7|Ab^7|F7|Bbm7|Eb7|Ebm7|Ab7|Db^7|Gb7|Ab^7|Bbm7 Eb7|Ab6|Bbm7 Eb7|,2,"Kern, Jerome"
Why Don't You Do Right?,d,,,,,"Dm7, B%7, Bb7, A7, Dm7, B%7, Bb7, A7, Gm7, Gm7, A7, Dm7, B%7, Bb7, A7, Bb7, A7, Bb7, A7, Dm7, B%7, Bb7, A7",|Dm7 B%7|Bb7 A7|Dm7 B%7|Bb7 A7|Gm7|Gm7 A7|Dm7 B%7|Bb7 A7|Bb7 A7|Bb7 A7|Dm7 B%7|Bb7 A7|,3,"McCoy, Kansas Joe"
Witch Hunt,c,,,,,"Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Eb7, Eb7, Eb7, Eb7, Cm7, Cm7, Cm7, Cm7, Gb^7, F7, E^7, Eb7, Eb7, Abm7, A^, Abm7, G7",|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Eb7|Eb7|Eb7|Eb7|Cm7|Cm7|Cm7|Cm7|Gb^7|F7|E^7 Eb7|Eb7|Abm7|A^|Abm7|G7|,-1,"Shorter, Wayne"
Work Song,f,,,,,"Fm, Fm, Fm, Fm, Fm, Fm, C7, C7, Fm, Fm, Fm, Fm, F7, Bb7, G7, C7, Fm",|Fm|Fm|Fm|Fm|Fm|Fm|C7|C7|Fm|Fm|Fm|Fm|F7|Bb7|G7 C7|Fm|,0,"Adderley, Nat"
Yesterdays,d,,,,,"Dm, E%7, A7, Dm, E%7, A7, Dm, Dm^7, Dm7, B%7, E7, A7, D7, G7, C7, F7, Bb^7, E%7, A7",|Dm|E%7 A7|Dm|E%7 A7|Dm Dm^7|Dm7|B%7|E7|A7|D7|G7|C7|F7|Bb^7|E%7|A7|,-1,"Kern, Jerome"
You Stepped Out Of A Dream,C,,,,,"C^7, C^7, Db^7, Db^7, Bbm7, Eb7, Ab^7, Ab^7, Gm7, C7, F^7, F^7, Am7, D7, Ebm7, Ab7, Dm7, G7, C^7, C^7, Db^7, Db^7, Bbm7, Eb7, Gb7, F7, D%7, G7, Em7, A7, Dm7, G7, C^7, A7, Dm7, G7",|C^7|C^7|Db^7|Db^7|Bbm7|Eb7|Ab^7|Ab^7|Gm7|C7|F^7|F^7|Am7|D7|Ebm7 Ab7|Dm7 G7|C^7|C^7|Db^7|Db^7|Bbm7|Eb7|Gb7|F7|D%7|G7|Em7|A7|Dm7|G7|C^7 A7|Dm7 G7|,3,Nacio Herb Brown
Zingaro (Retrato Em Branco E Preto),g,,,,,"Gm7, Gm7, D7, D7, Fm6, Fm6, E^7, Eb^7, Eb^7, Cm7, D7, Bb^7, Bb^7, A7, A7, D^7, Ab7, Gm7, Gm7, D7, D7, Fm6, Fm6, E^7, Eb^7, Eb^7, Cm7, C#o7, Gm, Eb^7, Cm7, Ebm7, D7, Gm7, Ebm7",|Gm7|Gm7|D7|D7|Fm6|Fm6 E^7|Eb^7|Eb^7|Cm7|D7|Bb^7|Bb^7|A7|A7|D^7|Ab7|Gm7|Gm7|D7|D7|Fm6|Fm6 E^7|Eb^7|Eb^7|Cm7|C#o7|Gm|Eb^7|Cm7|Ebm7 D7|Gm7|Ebm7|,1,"Jobim, Antonio Carlos"
